user_id,content_id,rating,time_spent,completed
675,105,2,59 mins,No
60,195,1,39 mins,No
6,113,4,55 mins,No
709,128,3,50 mins,No
982,184,2,44 mins,Yes
570,197,1,35 mins,Yes
817,180,4,21 mins,Yes
407,162,1,40 mins,No
217,193,4,26 mins,Yes
930,187,1,46 mins,Yes
26,124,2,17 mins,Yes
815,198,2,28 mins,No
5,107,1,35 mins,Yes
986,138,1,13 mins,Yes
532,137,5,24 mins,No
390,168,1,56 mins,Yes
710,198,1,23 mins,No
571,142,2,39 mins,No
448,186,1,57 mins,Yes
754,105,3,51 mins,No
146,164,1,33 mins,No
388,150,5,55 mins,No
785,187,4,52 mins,Yes
249,115,2,43 mins,No
526,195,3,28 mins,Yes
462,173,4,12 mins,Yes
13,153,3,13 mins,No
903,125,2,20 mins,No
384,189,5,22 mins,Yes
556,185,2,59 mins,No
887,109,3,27 mins,Yes
399,138,3,28 mins,Yes
19,122,2,53 mins,No
575,187,1,42 mins,No
491,149,2,47 mins,No
751,168,5,12 mins,No
419,193,2,58 mins,No
337,115,4,44 mins,No
419,165,1,10 mins,No
915,154,4,44 mins,No
916,130,2,45 mins,No
612,193,1,47 mins,No
675,120,4,48 mins,Yes
928,133,4,34 mins,No
122,200,1,49 mins,No
432,186,1,22 mins,No
44,177,3,13 mins,Yes
872,107,1,15 mins,No
920,108,2,20 mins,No
317,128,5,10 mins,No
381,145,3,17 mins,No
145,173,1,43 mins,No
327,189,5,49 mins,Yes
363,180,3,18 mins,No
50,174,2,45 mins,No
65,111,5,58 mins,Yes
355,131,1,48 mins,Yes
800,112,1,51 mins,Yes
164,195,2,46 mins,No
141,178,3,51 mins,No
966,151,5,53 mins,Yes
826,144,2,30 mins,No
128,196,3,29 mins,No
398,150,4,47 mins,No
933,117,4,10 mins,No
880,135,3,44 mins,No
463,101,1,37 mins,Yes
751,129,1,16 mins,Yes
836,151,4,52 mins,Yes
808,164,1,53 mins,No
187,104,1,18 mins,Yes
720,187,3,10 mins,No
732,128,3,45 mins,Yes
912,116,1,43 mins,Yes
190,163,3,43 mins,Yes
388,176,5,26 mins,Yes
429,153,4,41 mins,No
858,185,5,11 mins,Yes
284,117,5,45 mins,Yes
864,140,1,34 mins,Yes
237,113,1,52 mins,No
194,152,5,35 mins,Yes
287,158,5,54 mins,Yes
771,196,2,35 mins,Yes
758,137,2,30 mins,Yes
136,179,4,27 mins,Yes
792,176,5,38 mins,No
783,161,3,33 mins,Yes
171,179,2,56 mins,No
159,134,1,37 mins,No
201,170,5,21 mins,Yes
487,117,3,20 mins,Yes
557,120,3,36 mins,No
962,173,3,32 mins,Yes
776,159,1,42 mins,Yes
583,169,2,25 mins,No
504,187,3,37 mins,Yes
876,133,2,37 mins,No
371,178,4,54 mins,No
103,117,1,47 mins,Yes
125,157,2,15 mins,Yes
313,183,2,51 mins,No
976,197,3,38 mins,No
995,101,3,43 mins,Yes
798,113,1,12 mins,No
458,127,2,15 mins,No
230,170,5,57 mins,Yes
658,159,3,47 mins,Yes
882,106,3,22 mins,No
197,197,4,45 mins,Yes
885,194,1,24 mins,No
733,199,2,15 mins,No
423,123,2,42 mins,Yes
572,110,2,50 mins,No
610,151,3,21 mins,No
171,119,1,52 mins,No
382,151,2,22 mins,Yes
173,192,5,42 mins,Yes
663,187,4,37 mins,No
453,168,4,45 mins,No
350,184,2,14 mins,No
902,183,3,34 mins,Yes
952,142,4,26 mins,No
634,191,4,46 mins,Yes
494,157,4,28 mins,No
620,198,4,44 mins,No
4,168,2,52 mins,Yes
93,138,1,43 mins,Yes
919,162,1,55 mins,Yes
6,107,3,15 mins,No
288,171,5,28 mins,No
618,150,1,10 mins,Yes
146,152,5,16 mins,Yes
783,126,1,43 mins,No
424,126,1,28 mins,No
890,119,3,42 mins,Yes
608,109,4,35 mins,No
457,161,3,50 mins,Yes
741,120,1,58 mins,No
202,150,4,51 mins,Yes
212,180,4,36 mins,No
6,181,4,47 mins,No
624,122,5,35 mins,No
376,113,1,44 mins,Yes
891,112,2,29 mins,Yes
447,110,3,33 mins,Yes
835,165,5,56 mins,No
106,196,3,30 mins,No
651,130,2,35 mins,Yes
811,108,4,29 mins,No
401,121,2,15 mins,Yes
96,122,3,12 mins,No
388,118,2,19 mins,No
959,166,1,21 mins,No
452,148,2,42 mins,Yes
849,144,1,31 mins,Yes
809,109,2,25 mins,Yes
979,167,1,26 mins,No
901,154,1,19 mins,No
416,126,2,21 mins,No
726,185,5,28 mins,No
504,194,4,49 mins,Yes
454,192,4,32 mins,Yes
291,200,4,49 mins,No
534,126,1,19 mins,Yes
193,134,4,19 mins,No
980,108,1,59 mins,No
150,110,5,19 mins,Yes
880,148,2,48 mins,Yes
759,155,2,39 mins,Yes
779,154,1,13 mins,No
973,178,1,10 mins,No
763,140,5,52 mins,No
515,115,4,28 mins,Yes
393,181,5,14 mins,Yes
316,118,2,39 mins,Yes
76,196,2,35 mins,Yes
599,123,4,49 mins,Yes
270,162,2,43 mins,Yes
225,146,1,11 mins,Yes
530,187,2,33 mins,No
113,199,3,23 mins,Yes
251,139,4,50 mins,Yes
233,115,4,51 mins,No
841,153,4,22 mins,No
791,188,3,38 mins,Yes
714,164,5,10 mins,No
83,163,1,55 mins,Yes
125,192,4,43 mins,Yes
175,180,2,13 mins,Yes
69,116,1,37 mins,No
47,170,2,28 mins,No
884,166,1,10 mins,Yes
256,113,1,45 mins,No
727,147,2,52 mins,Yes
30,109,2,22 mins,Yes
281,163,1,59 mins,No
924,134,4,51 mins,No
994,181,2,14 mins,No
237,191,3,42 mins,Yes
248,129,3,23 mins,No
368,137,1,25 mins,No
495,143,5,41 mins,No
25,186,1,59 mins,Yes
586,164,1,36 mins,Yes
718,124,4,44 mins,Yes
490,171,4,12 mins,Yes
494,134,5,13 mins,Yes
314,148,5,16 mins,No
606,112,5,22 mins,No
375,123,5,50 mins,Yes
639,179,5,12 mins,No
937,197,1,26 mins,Yes
25,113,1,56 mins,Yes
334,187,3,19 mins,Yes
355,196,3,56 mins,Yes
116,145,2,10 mins,Yes
48,199,1,37 mins,Yes
738,165,5,19 mins,No
778,147,2,16 mins,No
99,158,4,48 mins,No
459,105,1,12 mins,No
523,177,3,16 mins,No
597,105,1,18 mins,No
405,160,1,49 mins,Yes
214,196,1,44 mins,Yes
685,121,1,35 mins,Yes
903,124,4,14 mins,Yes
503,118,3,22 mins,No
721,121,1,54 mins,Yes
448,154,4,39 mins,No
894,110,2,49 mins,No
576,124,1,59 mins,No
258,185,4,48 mins,No
844,189,5,19 mins,No
121,160,2,51 mins,No
810,157,3,32 mins,Yes
978,123,1,20 mins,Yes
54,122,1,21 mins,Yes
331,168,4,22 mins,Yes
784,134,3,49 mins,Yes
241,170,5,58 mins,Yes
755,128,2,55 mins,Yes
530,195,3,58 mins,No
483,199,1,25 mins,No
187,139,4,18 mins,Yes
858,142,5,19 mins,Yes
656,123,4,38 mins,No
262,170,2,18 mins,Yes
953,180,3,42 mins,No
364,102,4,33 mins,Yes
491,124,4,44 mins,No
431,117,1,20 mins,No
239,165,4,48 mins,Yes
304,170,5,59 mins,Yes
298,169,3,22 mins,No
76,160,2,32 mins,Yes
700,150,4,34 mins,Yes
333,193,5,59 mins,No
900,112,2,25 mins,No
999,147,5,57 mins,Yes
758,167,4,30 mins,Yes
642,165,4,19 mins,No
474,127,3,50 mins,No
827,148,1,49 mins,No
923,188,5,28 mins,Yes
283,162,1,44 mins,No
591,144,1,37 mins,Yes
72,119,2,50 mins,No
263,159,2,11 mins,Yes
703,108,5,39 mins,Yes
879,155,1,49 mins,No
887,147,3,59 mins,Yes
942,102,1,49 mins,No
575,194,2,14 mins,Yes
1000,194,1,47 mins,Yes
892,139,4,51 mins,Yes
12,145,4,24 mins,No
141,132,3,45 mins,No
766,165,5,12 mins,Yes
555,138,1,33 mins,No
17,177,4,50 mins,Yes
63,111,5,57 mins,No
253,110,4,57 mins,No
465,159,5,56 mins,Yes
376,190,5,50 mins,Yes
804,155,4,58 mins,Yes
981,120,2,21 mins,No
520,181,5,17 mins,Yes
837,117,1,23 mins,Yes
90,168,4,27 mins,No
720,105,2,53 mins,No
804,160,4,55 mins,Yes
796,123,3,29 mins,Yes
630,146,1,32 mins,No
861,152,3,14 mins,No
175,110,5,10 mins,No
76,146,5,54 mins,No
613,128,3,55 mins,Yes
926,197,3,11 mins,Yes
663,143,5,25 mins,No
400,126,2,14 mins,Yes
782,155,1,31 mins,Yes
970,148,4,10 mins,Yes
71,129,3,21 mins,No
180,127,1,28 mins,Yes
124,118,4,31 mins,No
381,160,4,51 mins,Yes
293,174,3,53 mins,No
797,169,2,57 mins,No
195,174,2,26 mins,No
911,121,1,22 mins,Yes
228,124,1,48 mins,Yes
431,103,5,37 mins,Yes
942,195,2,12 mins,Yes
436,162,1,14 mins,Yes
787,102,5,45 mins,No
461,166,4,24 mins,Yes
618,142,1,26 mins,Yes
21,134,5,53 mins,Yes
64,142,2,55 mins,Yes
165,120,4,38 mins,No
27,197,1,13 mins,No
311,168,2,41 mins,No
285,145,4,58 mins,No
660,175,3,52 mins,Yes
281,142,2,47 mins,No
838,147,3,13 mins,Yes
831,105,1,22 mins,No
164,189,5,29 mins,No
898,149,1,56 mins,Yes
918,137,2,27 mins,Yes
224,134,3,58 mins,No
784,173,3,51 mins,Yes
146,170,4,46 mins,Yes
965,118,1,21 mins,Yes
950,178,1,34 mins,No
868,119,2,39 mins,No
30,178,3,24 mins,No
45,140,2,45 mins,No
787,117,2,17 mins,Yes
471,160,3,37 mins,Yes
34,199,2,31 mins,Yes
653,193,3,58 mins,Yes
427,142,2,47 mins,No
830,181,5,25 mins,Yes
886,172,2,14 mins,No
221,165,2,55 mins,No
868,153,5,43 mins,No
534,200,1,58 mins,Yes
692,107,3,47 mins,Yes
948,105,4,20 mins,No
367,124,5,11 mins,No
932,128,1,34 mins,Yes
841,162,2,34 mins,No
743,117,1,10 mins,Yes
915,120,5,40 mins,No
550,103,2,14 mins,No
582,137,1,49 mins,Yes
116,190,4,13 mins,Yes
239,115,3,14 mins,No
335,151,3,14 mins,No
441,148,5,25 mins,Yes
148,108,2,27 mins,No
9,113,2,52 mins,No
288,148,3,26 mins,No
388,103,1,44 mins,No
50,165,2,27 mins,No
850,173,4,13 mins,No
517,131,4,40 mins,Yes
916,126,2,40 mins,No
855,181,2,18 mins,Yes
638,156,3,40 mins,No
587,134,5,14 mins,No
677,109,3,45 mins,Yes
278,162,5,25 mins,Yes
954,113,4,51 mins,Yes
836,169,5,50 mins,Yes
989,141,3,25 mins,Yes
300,177,2,29 mins,No
802,101,5,39 mins,Yes
589,189,3,35 mins,Yes
810,147,4,58 mins,Yes
649,104,5,40 mins,No
618,200,4,59 mins,No
607,163,4,24 mins,No
