Question1,Question2,Question3,Question4,Question5,LearningStyle
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
1,5,3,4,2,Visual
2,4,3,5,1,Auditory
3,3,3,1,4,Reading/Writing
4,2,3,2,5,Kinesthetic
5,1,3,3,3,Visual
1,5,1,4,2,Auditory
2,4,2,5,1,Reading/Writing
3,3,4,1,4,Kinesthetic
4,2,5,2,5,Visual
5,1,2,3,3,Auditory
